method,time,quantity,target_left,target_right,pairwise_rms
raw_tensor,0.0,state_type_logit,0,1,0.0
raw_tensor,0.0,state_type_logit,0,2,0.0
raw_tensor,0.0,state_type_logit,0,3,0.0
raw_tensor,0.0,state_type_logit,0,4,0.0
raw_tensor,0.0,state_type_logit,0,5,0.0
raw_tensor,0.0,state_type_logit,0,6,0.0
raw_tensor,0.0,state_type_logit,0,7,0.0
raw_tensor,0.0,state_type_logit,1,2,0.0
raw_tensor,0.0,state_type_logit,1,3,0.0
raw_tensor,0.0,state_type_logit,1,4,0.0
raw_tensor,0.0,state_type_logit,1,5,0.0
raw_tensor,0.0,state_type_logit,1,6,0.0
raw_tensor,0.0,state_type_logit,1,7,0.0
raw_tensor,0.0,state_type_logit,2,3,0.0
raw_tensor,0.0,state_type_logit,2,4,0.0
raw_tensor,0.0,state_type_logit,2,5,0.0
raw_tensor,0.0,state_type_logit,2,6,0.0
raw_tensor,0.0,state_type_logit,2,7,0.0
raw_tensor,0.0,state_type_logit,3,4,0.0
raw_tensor,0.0,state_type_logit,3,5,0.0
raw_tensor,0.0,state_type_logit,3,6,0.0
raw_tensor,0.0,state_type_logit,3,7,0.0
raw_tensor,0.0,state_type_logit,4,5,0.0
raw_tensor,0.0,state_type_logit,4,6,0.0
raw_tensor,0.0,state_type_logit,4,7,0.0
raw_tensor,0.0,state_type_logit,5,6,0.0
raw_tensor,0.0,state_type_logit,5,7,0.0
raw_tensor,0.0,state_type_logit,6,7,0.0
raw_tensor,0.0,state_fractional_coordinate,0,1,0.0
raw_tensor,0.0,state_fractional_coordinate,0,2,0.0
raw_tensor,0.0,state_fractional_coordinate,0,3,0.0
raw_tensor,0.0,state_fractional_coordinate,0,4,0.0
raw_tensor,0.0,state_fractional_coordinate,0,5,0.0
raw_tensor,0.0,state_fractional_coordinate,0,6,0.0
raw_tensor,0.0,state_fractional_coordinate,0,7,0.0
raw_tensor,0.0,state_fractional_coordinate,1,2,0.0
raw_tensor,0.0,state_fractional_coordinate,1,3,0.0
raw_tensor,0.0,state_fractional_coordinate,1,4,0.0
raw_tensor,0.0,state_fractional_coordinate,1,5,0.0
raw_tensor,0.0,state_fractional_coordinate,1,6,0.0
raw_tensor,0.0,state_fractional_coordinate,1,7,0.0
raw_tensor,0.0,state_fractional_coordinate,2,3,0.0
raw_tensor,0.0,state_fractional_coordinate,2,4,0.0
raw_tensor,0.0,state_fractional_coordinate,2,5,0.0
raw_tensor,0.0,state_fractional_coordinate,2,6,0.0
raw_tensor,0.0,state_fractional_coordinate,2,7,0.0
raw_tensor,0.0,state_fractional_coordinate,3,4,0.0
raw_tensor,0.0,state_fractional_coordinate,3,5,0.0
raw_tensor,0.0,state_fractional_coordinate,3,6,0.0
raw_tensor,0.0,state_fractional_coordinate,3,7,0.0
raw_tensor,0.0,state_fractional_coordinate,4,5,0.0
